Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
6		Weiﬂ  2	4	39				3				1										1			0	0	0	.
6	ja denke ist das best	Weiﬂ  3	4	36	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
6	e	Weiﬂ  3	4	34	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
6		Weiﬂ  2	4	26				3				1										1			0	0	0	0
7	Situation X, alle A w‰hlen	Weiﬂ  1	1	55	2	4	1	3	9	4	3	0	4	0	2	1	1	3	8	2	3	0	4	0	1	1	1	0
7	3*x	Weiﬂ  3	2	57	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
7	Y, B	Weiﬂ  1	3	53	1	4	1	3	9	4	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0	1
7	X	Weiﬂ  3	4	56	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
7	drei mal	Weiﬂ  3	4	53	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
7	sodass A	Weiﬂ  3	4	51	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
7	meisten sinn macht	Weiﬂ  3	4	43	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
7	genau	Weiﬂ  2	4	28	10	4	1	3	9	4	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
